Falla_ID,Equipo_ID,Componente_ID,CausaRaiz_ID,Turno_ID,Fecha,Fecha_Hora_Falla,Modo_Falla,Severidad,Horas_Parada_Equipo,Detectada_Por
1,18,7,10,1,2023-01-04,2023-01-04 12:18:00,Falla eléctrica,Baja,2.63,Operador
2,10,9,11,2,2023-01-05,2023-01-05 06:21:00,Falla eléctrica,Baja,2.29,Monitoreo remoto
3,4,15,11,2,2023-01-06,2023-01-06 05:09:00,Pérdida de presión,Baja,2.77,Operador
4,1,10,11,2,2023-01-08,2023-01-08 05:21:00,Falla de arranque,Alta,19.21,Operador
5,3,16,11,1,2023-01-14,2023-01-14 11:49:00,Pérdida de presión,Baja,2.97,Operador
6,14,5,11,1,2023-01-15,2023-01-15 14:33:00,Ruido anormal,Media,7.63,Operador
7,19,14,10,1,2023-01-16,2023-01-16 12:04:00,Recalentamiento aceite,Media,6.97,Operador
8,7,9,10,1,2023-01-16,2023-01-16 18:12:00,Pérdida de señal,Media,8.59,Inspección
9,6,9,10,2,2023-01-19,2023-01-19 03:23:00,Cortocircuito,Media,6.47,Operador
10,19,4,10,1,2023-01-20,2023-01-20 13:15:00,Pérdida de potencia,Media,8.69,Operador
11,10,14,11,2,2023-01-20,2023-01-20 22:55:00,Recalentamiento aceite,Media,5.71,Operador
12,10,3,6,2,2023-01-21,2023-01-21 01:00:00,Ruido anormal,Alta,18.65,Inspección
13,5,7,11,1,2023-01-21,2023-01-21 13:57:00,Falla de arranque,Baja,2.27,Operador
14,9,7,11,2,2023-01-22,2023-01-22 01:39:00,Cortocircuito,Media,7.78,Inspección
15,10,10,11,2,2023-01-22,2023-01-22 23:00:00,Falla de arranque,Baja,1.91,Inspección
16,8,18,11,2,2023-01-23,2023-01-23 01:17:00,Desgaste de engranajes,Alta,12.7,Operador
17,18,16,11,1,2023-01-24,2023-01-24 11:00:00,Fuga hidráulica,Baja,1.83,Operador
18,7,35,10,2,2023-01-25,2023-01-25 00:07:00,Falla de A/C,Alta,21.89,Inspección
19,1,10,10,1,2023-01-26,2023-01-26 17:41:00,Cortocircuito,Media,6.03,Inspección
20,1,7,11,1,2023-01-28,2023-01-28 16:00:00,Pérdida de señal,Media,8.17,Monitoreo remoto
21,7,36,10,2,2023-01-28,2023-01-28 23:25:00,Falla de controles,Baja,2.38,Monitoreo remoto
22,16,7,11,2,2023-01-29,2023-01-29 01:13:00,Falla eléctrica,Baja,2.55,Inspección
23,5,5,12,2,2023-01-29,2023-01-29 03:30:00,Vibraciones excesivas,Alta,11.58,Operador
24,7,3,10,2,2023-01-30,2023-01-30 02:21:00,Pérdida de potencia,Baja,2.24,Operador
25,14,15,10,1,2023-02-01,2023-02-01 13:35:00,Fuga hidráulica,Media,5.86,Operador
26,4,20,11,1,2023-02-04,2023-02-04 07:31:00,Fuga de fluido,Media,6.96,Operador
27,2,5,10,2,2023-02-05,2023-02-05 03:51:00,Recalentamiento,Media,4.4,Monitoreo remoto
28,20,7,11,2,2023-02-05,2023-02-05 21:27:00,Sobrecarga,Alta,22.5,Operador
29,12,5,11,1,2023-02-06,2023-02-06 13:59:00,Ruido anormal,Media,7.72,Inspección
30,2,15,11,1,2023-02-07,2023-02-07 15:50:00,Pérdida de presión,Media,4.36,Monitoreo remoto
31,6,13,10,2,2023-02-07,2023-02-07 23:31:00,Pérdida de presión,Baja,2.56,Inspección
32,7,35,10,2,2023-02-08,2023-02-08 23:09:00,Falla de controles,Alta,20.37,Operador
33,11,15,11,2,2023-02-09,2023-02-09 03:20:00,Fuga hidráulica,Alta,23.7,Operador
34,10,35,10,2,2023-02-09,2023-02-09 03:22:00,Falla de controles,Media,7.6,Operador
35,6,7,11,2,2023-02-10,2023-02-10 00:42:00,Falla eléctrica,Media,6.86,Operador
36,17,31,11,1,2023-02-10,2023-02-10 08:15:00,Desgaste cuchara,Media,6.77,Operador
37,21,35,10,2,2023-02-10,2023-02-10 19:46:00,Falla de pantalla,Media,6.71,Operador
38,21,14,10,2,2023-02-10,2023-02-10 22:09:00,Rotura de cilindro,Media,6.38,Operador
39,6,35,11,1,2023-02-12,2023-02-12 13:21:00,Falla de A/C,Baja,1.86,Operador
40,6,9,11,2,2023-02-13,2023-02-13 01:03:00,Falla eléctrica,Media,8.22,Inspección
41,4,16,10,2,2023-02-13,2023-02-13 03:54:00,Rotura de cilindro,Media,6.16,Inspección
42,5,16,10,2,2023-02-13,2023-02-13 20:08:00,Rotura de cilindro,Baja,1.88,Operador
43,12,16,11,2,2023-02-16,2023-02-16 02:43:00,Vibraciones excesivas,Media,7.28,Operador
44,6,5,10,1,2023-02-17,2023-02-17 13:57:00,Ruido anormal,Media,5.16,Operador
45,13,14,11,2,2023-02-18,2023-02-18 04:20:00,Pérdida de presión,Alta,18.16,Monitoreo remoto
46,21,33,11,2,2023-02-18,2023-02-18 22:27:00,Rotura,Alta,18.25,Operador
47,7,12,10,1,2023-02-19,2023-02-19 10:39:00,Rotura de cilindro,Media,7.11,Inspección
48,12,35,11,1,2023-02-19,2023-02-19 14:05:00,Falla de pantalla,Baja,2.33,Operador
49,11,30,10,1,2023-02-19,2023-02-19 18:31:00,Fatiga de material,Baja,2.3,Operador
50,6,15,10,1,2023-02-21,2023-02-21 11:07:00,Rotura de cilindro,Alta,19.68,Operador
51,21,34,11,2,2023-02-21,2023-02-21 22:20:00,Fractura de diente,Alta,18.9,Operador
52,9,9,11,2,2023-02-21,2023-02-21 23:11:00,Cortocircuito,Media,8.81,Inspección
53,1,24,10,1,2023-02-22,2023-02-22 07:46:00,Pinchadura,Alta,17.39,Inspección
54,11,16,11,1,2023-02-22,2023-02-22 08:36:00,Rotura de cilindro,Alta,22.15,Inspección
55,2,15,11,1,2023-02-22,2023-02-22 18:47:00,Pérdida de presión,Media,5.95,Monitoreo remoto
56,8,19,10,2,2023-02-23,2023-02-23 06:18:00,Patinamiento,Alta,12.46,Operador
57,19,14,10,2,2023-02-23,2023-02-23 06:54:00,Rotura de cilindro,Baja,2.47,Operador
58,18,3,12,1,2023-02-23,2023-02-23 07:16:00,Vibraciones excesivas,Alta,13.6,Operador
59,11,4,11,1,2023-02-24,2023-02-24 09:27:00,Fuga de aceite,Baja,2.51,Monitoreo remoto
60,11,8,10,1,2023-02-24,2023-02-24 09:28:00,Sobrecarga,Baja,2.46,Operador
61,21,36,11,1,2023-02-24,2023-02-24 11:15:00,Falla de pantalla,Media,5.5,Operador
62,4,12,11,2,2023-02-25,2023-02-25 22:31:00,Vibraciones excesivas,Media,8.06,Operador
63,13,30,10,1,2023-02-26,2023-02-26 07:24:00,Desgaste de broca,Baja,1.62,Monitoreo remoto
64,10,16,11,2,2023-02-27,2023-02-27 01:14:00,Rotura de cilindro,Baja,2.07,Operador
65,18,12,10,2,2023-02-27,2023-02-27 02:59:00,Pérdida de presión,Media,6.0,Monitoreo remoto
66,14,14,10,1,2023-02-27,2023-02-27 10:32:00,Fuga hidráulica,Baja,2.38,Inspección
67,18,35,11,1,2023-02-28,2023-02-28 17:24:00,Falla de controles,Media,5.98,Operador
68,11,9,10,2,2023-03-02,2023-03-02 21:54:00,Pérdida de señal,Alta,21.65,Operador
69,15,11,10,2,2023-03-03,2023-03-03 02:24:00,Cortocircuito,Alta,21.69,Monitoreo remoto
70,1,9,10,2,2023-03-04,2023-03-04 02:29:00,Cortocircuito,Media,8.96,Operador
71,4,13,10,1,2023-03-04,2023-03-04 07:48:00,Rotura de cilindro,Baja,2.35,Operador
72,21,16,11,1,2023-03-04,2023-03-04 15:03:00,Fuga hidráulica,Baja,2.58,Inspección
73,3,9,11,2,2023-03-05,2023-03-05 00:09:00,Cortocircuito,Alta,15.49,Operador
74,6,9,11,1,2023-03-07,2023-03-07 09:03:00,Pérdida de señal,Baja,1.68,Operador
75,21,8,11,1,2023-03-07,2023-03-07 13:49:00,Sobrecarga,Media,5.59,Monitoreo remoto
76,8,8,10,2,2023-03-07,2023-03-07 19:44:00,Pérdida de señal,Media,6.87,Operador
77,14,10,10,1,2023-03-08,2023-03-08 13:20:00,Falla eléctrica,Baja,2.68,Inspección
78,15,10,10,2,2023-03-09,2023-03-09 20:42:00,Falla de arranque,Baja,1.45,Operador
79,19,35,11,2,2023-03-10,2023-03-10 00:07:00,Falla de pantalla,Baja,2.29,Operador
80,9,19,10,2,2023-03-10,2023-03-10 03:17:00,Fallo transmisión,Media,8.03,Operador
81,7,18,10,1,2023-03-10,2023-03-10 08:35:00,Recalentamiento,Media,4.61,Monitoreo remoto
82,16,16,10,2,2023-03-10,2023-03-10 20:42:00,Fuga hidráulica,Media,8.03,Monitoreo remoto
83,2,8,10,2,2023-03-10,2023-03-10 21:03:00,Pérdida de señal,Media,8.85,Operador
84,7,23,8,1,2023-03-11,2023-03-11 15:16:00,Desbalance,Alta,16.58,Monitoreo remoto
85,9,8,11,2,2023-03-12,2023-03-12 03:33:00,Cortocircuito,Baja,1.77,Monitoreo remoto
86,12,8,11,2,2023-03-12,2023-03-12 05:09:00,Cortocircuito,Media,4.64,Operador
87,9,16,11,1,2023-03-13,2023-03-13 08:53:00,Fuga hidráulica,Media,7.1,Operador
88,13,16,11,2,2023-03-14,2023-03-14 23:06:00,Vibraciones excesivas,Media,7.94,Operador
89,14,30,11,1,2023-03-15,2023-03-15 12:07:00,Fractura de diente,Baja,1.56,Operador
90,3,5,11,1,2023-03-16,2023-03-16 07:52:00,Vibraciones excesivas,Media,7.65,Operador
91,20,16,11,1,2023-03-16,2023-03-16 14:29:00,Vibraciones excesivas,Media,7.66,Operador
92,2,16,11,1,2023-03-16,2023-03-16 17:33:00,Vibraciones excesivas,Media,8.78,Monitoreo remoto
93,6,13,10,1,2023-03-16,2023-03-16 18:48:00,Recalentamiento aceite,Media,8.4,Operador
94,11,11,11,1,2023-03-17,2023-03-17 15:37:00,Cortocircuito,Media,8.09,Inspección
95,19,2,6,1,2023-03-17,2023-03-17 18:27:00,Ruido anormal,Crítica,41.93,Inspección
96,17,15,11,1,2023-03-18,2023-03-18 12:02:00,Vibraciones excesivas,Media,5.5,Operador
97,10,27,11,2,2023-03-19,2023-03-19 01:56:00,Fatiga estructural,Crítica,51.6,Inspección
98,12,7,10,2,2023-03-19,2023-03-19 05:00:00,Pérdida de señal,Media,8.1,Inspección
99,10,30,11,1,2023-03-19,2023-03-19 12:21:00,Desgaste de broca,Baja,2.23,Inspección
100,19,31,10,2,2023-03-19,2023-03-19 22:24:00,Fractura de diente,Baja,1.47,Monitoreo remoto
101,1,35,11,2,2023-03-19,2023-03-19 22:58:00,Falla de pantalla,Media,5.89,Operador
102,1,22,10,2,2023-03-20,2023-03-20 02:36:00,Vibración al frenar,Baja,2.68,Operador
103,10,8,11,2,2023-03-20,2023-03-20 04:51:00,Falla de arranque,Media,7.16,Inspección
104,7,8,11,1,2023-03-20,2023-03-20 09:48:00,Falla de arranque,Media,7.76,Operador
105,20,15,10,1,2023-03-20,2023-03-20 12:22:00,Fuga hidráulica,Media,6.55,Monitoreo remoto
106,8,16,10,2,2023-03-21,2023-03-21 04:32:00,Fuga hidráulica,Baja,2.66,Inspección
107,14,9,10,2,2023-03-21,2023-03-21 05:42:00,Sobrecarga,Baja,1.41,Inspección
108,20,35,10,1,2023-03-21,2023-03-21 12:49:00,Falla de controles,Media,4.64,Inspección
109,1,15,10,1,2023-03-21,2023-03-21 12:54:00,Rotura de cilindro,Media,5.86,Monitoreo remoto
110,16,14,10,2,2023-03-21,2023-03-21 20:59:00,Fuga hidráulica,Alta,21.48,Operador
111,17,8,11,2,2023-03-22,2023-03-22 00:18:00,Falla eléctrica,Media,8.78,Operador
112,12,11,11,2,2023-03-22,2023-03-22 01:40:00,Falla eléctrica,Media,5.91,Operador
113,18,8,10,1,2023-03-22,2023-03-22 08:45:00,Pérdida de señal,Baja,2.6,Inspección
114,18,31,11,1,2023-03-23,2023-03-23 08:08:00,Desgaste de broca,Baja,2.57,Operador
115,5,21,10,1,2023-03-23,2023-03-23 09:05:00,Falla de frenos,Media,5.84,Inspección
116,12,5,5,2,2023-03-23,2023-03-23 21:18:00,Vibraciones excesivas,Alta,11.42,Monitoreo remoto
117,8,17,11,1,2023-03-24,2023-03-24 08:54:00,Ruido anormal,Alta,13.85,Monitoreo remoto
118,15,15,11,2,2023-03-25,2023-03-25 02:21:00,Rotura de cilindro,Media,5.33,Inspección
119,18,16,11,2,2023-03-25,2023-03-25 23:13:00,Fuga hidráulica,Media,5.79,Inspección
120,5,18,11,1,2023-03-26,2023-03-26 10:57:00,Fallo transmisión,Alta,15.88,Inspección
121,20,10,11,1,2023-03-26,2023-03-26 11:52:00,Falla eléctrica,Alta,22.25,Inspección
122,6,16,11,1,2023-03-26,2023-03-26 17:19:00,Rotura de cilindro,Media,5.05,Monitoreo remoto
123,2,19,11,2,2023-03-27,2023-03-27 02:19:00,Fallo transmisión,Media,8.89,Monitoreo remoto
124,2,20,11,1,2023-03-27,2023-03-27 07:32:00,Desgaste excesivo,Media,5.59,Operador
125,4,8,10,1,2023-03-27,2023-03-27 11:58:00,Falla de arranque,Alta,17.6,Operador
126,12,30,10,1,2023-03-27,2023-03-27 14:50:00,Fatiga de material,Baja,1.76,Operador
