OT_ID,Equipo_ID,Falla_ID,Actividad_ID,Mecanico_Lider_ID,Fecha_Ingreso,Fecha_Salida,Tipo_OT,Estado_OT,Horas_Taller,Horas_Planificadas,Num_Mecanicos,Horas_Hombre,Costo_ManoObra_USD,Costo_Repuestos_USD,Costo_Total_USD,Cumple_Plazo
1,18,1.0,14,17,2023-01-04 17:35:36.327013,2023-01-04 21:47:15.195178,Correctivo,Cerrada,4.19,3.0,3,12.58,401.92,381.26,783.18,False
2,10,2.0,14,11,2023-01-05 18:42:38.175108,2023-01-05 20:59:28.342288,Correctivo,Cerrada,2.28,3.0,2,4.56,89.67,157.34,247.0,True
3,4,3.0,14,1,2023-01-06 13:58:40.064353,2023-01-06 19:06:14.950524,Correctivo,Cerrada,5.13,3.0,2,10.25,140.33,348.7,489.03,False
4,1,4.0,14,7,2023-01-08 13:29:49.771683,2023-01-08 17:00:27.202523,Correctivo,Cerrada,3.51,3.0,2,7.02,228.02,3905.2,4133.23,False
5,8,,15,11,2023-01-09 00:00:00.000000,2023-01-12 17:58:26.279936,Mayor,Cerrada,89.97,80.0,4,359.9,7557.81,67678.31,75236.13,True
6,11,,6,12,2023-01-12 00:00:00.000000,2023-01-12 05:54:00.462042,Preventivo,Cerrada,5.9,6.0,2,11.8,177.0,1152.81,1329.82,True
7,5,,4,22,2023-01-12 00:00:00.000000,2023-01-12 01:49:55.122716,Preventivo,Cerrada,1.83,2.0,2,3.66,69.62,199.27,268.89,True
8,8,,7,17,2023-01-13 00:00:00.000000,2023-01-13 04:20:38.088659,Preventivo,Cerrada,4.34,5.0,3,13.03,443.08,718.51,1161.59,True
9,7,,4,23,2023-01-13 00:00:00.000000,2023-01-13 02:10:40.193374,Preventivo,Cerrada,2.18,2.0,2,4.36,143.74,226.92,370.66,True
10,3,5.0,14,21,2023-01-14 14:57:19.949603,2023-01-14 18:48:03.671582,Correctivo,Cerrada,3.85,3.0,2,7.69,151.64,36.79,188.43,False
11,13,,5,18,2023-01-15 00:00:00.000000,2023-01-15 03:59:38.307086,Preventivo,Cerrada,3.99,4.0,1,3.99,91.86,510.12,601.98,True
12,21,,2,19,2023-01-15 00:00:00.000000,2023-01-15 02:38:59.347944,Preventivo,Cerrada,2.65,3.0,2,5.3,132.49,526.53,659.02,True
13,12,,5,5,2023-01-16 00:00:00.000000,2023-01-16 03:58:57.205461,Preventivo,Cerrada,3.98,4.0,1,3.98,67.7,724.25,791.96,True
14,2,,5,3,2023-01-16 00:00:00.000000,2023-01-16 03:39:11.081643,Preventivo,Cancelada,3.65,4.0,2,7.31,124.2,602.1,726.31,True
15,20,,6,6,2023-01-16 00:00:00.000000,2023-01-16 06:09:02.927079,Preventivo,Cerrada,6.15,6.0,2,12.3,516.67,923.8,1440.47,True
16,14,6.0,14,20,2023-01-16 08:27:36.297953,2023-01-16 12:35:28.132074,Correctivo,Cerrada,4.13,3.0,2,8.26,190.19,1177.27,1367.47,False
17,19,7.0,14,1,2023-01-16 20:31:27.594622,2023-01-16 23:40:30.223925,Correctivo,Cerrada,3.15,3.0,3,9.45,143.29,194.39,337.68,True
18,15,,3,10,2023-01-17 00:00:00.000000,2023-01-17 05:12:03.106491,Preventivo,Abierta,5.2,5.0,2,10.4,312.05,289.85,601.9,True
19,6,,5,4,2023-01-17 00:00:00.000000,2023-01-17 04:33:28.832691,Preventivo,Cerrada,4.56,4.0,1,4.56,200.55,570.6,771.15,False
20,18,,3,17,2023-01-17 00:00:00.000000,2023-01-17 04:45:27.751402,Preventivo,Cerrada,4.76,5.0,2,9.52,323.52,311.56,635.09,True
21,7,8.0,14,10,2023-01-17 00:51:26.746225,2023-01-17 04:40:44.250139,Correctivo,Cerrada,3.82,3.0,2,7.64,218.11,539.29,757.41,False
22,1,,6,11,2023-01-18 00:00:00.000000,2023-01-18 05:59:13.158749,Preventivo,Cerrada,5.99,6.0,2,11.97,251.45,891.72,1143.18,True
23,14,,7,11,2023-01-19 00:00:00.000000,2023-01-19 04:24:01.478102,Preventivo,Cerrada,4.4,5.0,2,8.8,184.82,786.88,971.69,True
24,4,,4,1,2023-01-19 00:00:00.000000,2023-01-19 01:52:54.141616,Preventivo,Cerrada,1.88,2.0,2,3.76,52.69,196.72,249.41,True
25,19,,7,12,2023-01-19 00:00:00.000000,2023-01-19 04:56:52.101932,Preventivo,Cerrada,4.95,5.0,1,4.95,74.22,644.92,719.14,True
26,6,9.0,14,12,2023-01-19 08:27:53.422825,2023-01-19 13:17:55.341148,Correctivo,Cerrada,4.83,3.0,2,9.67,133.49,444.67,578.16,False
27,17,,1,7,2023-01-20 00:00:00.000000,2023-01-20 03:51:00.938355,Preventivo,Cerrada,3.85,4.0,2,7.7,254.12,805.74,1059.86,True
28,10,,2,7,2023-01-20 00:00:00.000000,2023-01-20 03:05:03.179765,Preventivo,Abierta,3.08,3.0,2,6.17,203.56,494.87,698.43,True
29,9,,3,15,2023-01-20 00:00:00.000000,2023-01-20 04:54:53.250346,Preventivo,Cerrada,4.91,5.0,2,9.83,285.06,281.5,566.56,True
30,3,,6,17,2023-01-20 00:00:00.000000,2023-01-20 05:12:36.478181,Preventivo,Cerrada,5.21,6.0,1,5.21,177.14,1063.25,1240.39,True
31,6,,8,6,2023-01-21 00:00:00.000000,2023-01-21 02:13:34.012541,Predictivo,Cerrada,2.23,2.0,1,2.23,93.5,117.42,210.91,True
32,16,,3,17,2023-01-21 00:00:00.000000,2023-01-21 04:28:25.980099,Preventivo,Cerrada,4.47,5.0,3,13.42,456.34,299.98,756.32,True
33,10,11.0,14,18,2023-01-21 06:12:41.431422,2023-01-21 08:55:55.869439,Correctivo,Cerrada,2.72,3.0,3,8.16,195.52,202.21,397.73,True
34,10,12.0,13,12,2023-01-21 09:48:59.799846,2023-01-21 18:03:09.903806,Correctivo,Cerrada,8.24,10.0,2,16.47,249.85,1638.28,1888.13,True
35,19,10.0,14,7,2023-01-21 11:39:10.464402,2023-01-21 15:17:45.179743,Correctivo,Cerrada,3.64,3.0,1,3.64,132.08,755.08,887.16,False
36,5,13.0,14,2,2023-01-21 16:46:26.395525,2023-01-21 19:56:15.141175,Correctivo,Cerrada,3.16,3.0,3,9.49,137.14,421.77,558.91,True
37,8,,10,20,2023-01-22 00:00:00.000000,2023-01-22 03:00:30.505989,Predictivo,Cerrada,3.01,3.0,2,6.02,144.41,190.01,334.41,True
38,21,,11,2,2023-01-22 00:00:00.000000,2023-01-22 03:53:40.244653,Predictivo,Cerrada,3.89,4.0,1,3.89,62.31,305.76,368.08,True
39,9,14.0,14,3,2023-01-22 05:48:38.277069,2023-01-22 10:20:29.435912,Correctivo,Cerrada,4.53,3.0,2,9.06,164.65,868.72,1033.38,False
40,18,,10,4,2023-01-23 00:00:00.000000,2023-01-23 02:51:01.238565,Predictivo,Cerrada,2.85,3.0,1,2.85,125.42,186.58,312.0,True
41,1,,11,2,2023-01-23 00:00:00.000000,2023-01-23 03:53:56.382877,Predictivo,Cerrada,3.9,4.0,1,3.9,62.38,244.91,307.3,True
42,10,15.0,14,9,2023-01-23 07:05:11.316111,2023-01-23 11:56:10.075158,Correctivo,Cerrada,4.85,3.0,4,19.4,480.13,544.76,1024.89,False
43,8,16.0,13,3,2023-01-23 08:08:04.882638,2023-01-23 16:07:29.017831,Correctivo,Cerrada,7.99,10.0,3,23.97,394.8,9750.67,10145.46,True
44,13,,10,22,2023-01-25 00:00:00.000000,2023-01-25 03:00:32.802380,Predictivo,Cerrada,3.01,3.0,1,3.01,57.17,188.77,245.95,True
45,7,18.0,13,21,2023-01-25 11:01:38.839574,2023-01-26 04:40:17.185749,Correctivo,Cerrada,17.64,10.0,4,70.58,1367.34,1616.55,2983.89,False
46,1,19.0,14,15,2023-01-26 20:54:37.638639,2023-01-26 23:02:57.245407,Correctivo,Cerrada,2.14,3.0,1,2.14,57.13,1796.71,1853.84,True
47,19,,11,22,2023-01-28 00:00:00.000000,2023-01-28 04:13:34.012820,Predictivo,Cerrada,4.23,4.0,1,4.23,80.3,268.78,349.07,True
48,14,,11,22,2023-01-29 00:00:00.000000,2023-01-29 04:00:46.969044,Predictivo,Cerrada,4.01,4.0,1,4.01,76.25,237.88,314.13,True
49,1,20.0,14,19,2023-01-29 00:06:42.842781,2023-01-29 02:44:42.886890,Correctivo,Cerrada,2.63,3.0,3,7.9,183.71,1113.95,1297.65,True
50,7,21.0,14,6,2023-01-29 03:56:31.272661,2023-01-29 08:46:28.410933,Correctivo,Cerrada,4.83,3.0,1,4.83,197.93,313.17,511.09,False
51,5,23.0,13,9,2023-01-29 05:16:35.564305,2023-01-29 22:48:45.733327,Correctivo,Cerrada,17.54,10.0,4,70.14,1782.0,2545.82,4327.82,False
52,11,,8,9,2023-01-30 00:00:00.000000,2023-01-30 02:01:33.748009,Predictivo,Cerrada,2.03,2.0,2,4.05,101.3,96.05,197.36,True
53,7,24.0,14,16,2023-01-30 02:40:14.035775,2023-01-30 05:59:53.960313,Correctivo,Cerrada,3.33,3.0,3,9.98,200.22,334.73,534.95,True
54,17,,8,7,2023-01-31 00:00:00.000000,2023-01-31 01:49:45.407560,Predictivo,Cerrada,1.83,2.0,1,1.83,60.37,103.82,164.18,True
55,4,,11,21,2023-02-01 00:00:00.000000,2023-02-01 04:14:26.546522,Predictivo,Cerrada,4.24,4.0,1,4.24,80.57,224.37,304.94,True
56,14,25.0,14,7,2023-02-01 14:24:17.266566,2023-02-01 17:09:08.273406,Correctivo,Cerrada,2.75,3.0,3,8.24,291.21,712.62,1003.82,True
